Player▲,Pos,AV,From,To
John Ksionzyk\KsioJo20,QB,,1947,1947
John McCarthy\McCaJo23,QB,,1944,1944
John McCormick\McCoJo00,QB,1,1962,1968
John Navarre\NavaJo00,QB,0,2004,2005
John Parker Wilson\WilsJo01,QB,0,2012,2012
John Rauch\RaucJo20,QB-DB,,1949,1951
John Reaves\ReavJo00,QB,11,1972,1987
John Roach\RoacJo00,QB-DB,12,1956,1964
John Sciarra\SciaJo20,DB-QB,5,1978,1983
John Skelton\SkelJo00,QB,4,2010,2012
John Stofa\StofJo00,QB,5,1966,1970
John Walton\WaltJo00,QB,1,1976,1979
John Witkowski\WitkJo00,QB,1,1984,1988
Johnny Evans\EvanJo21,P-QB,7,1978,1980
Johnny Green\GreeJo00,QB,11,1960,1963
Johnny Long\LongJo20,QB-HB,,1944,1945
Johnny Lujack\LujaJo00,QB-DB,,1948,1951
Johnny Manziel\ManzJo00,QB,5,2014,2015
Johnny Unitas+\UnitJo00,QB,145,1956,1973
Jon Brittenum\BritJo00,QB,0,1968,1968
Jon Kitna\KitnJo00,QB,89,1997,2011
Jonathan Quinn\QuinJo00,QB,4,1998,2004
Jordan Palmer\PalmJo20,QB,0,2008,2014
Josh Allen\AlleJo02,QB,17,2018,2019
Josh Freeman\FreeJo00,QB,41,2009,2015
Josh Johnson\JohnJo05,QB,6,2009,2018
Josh McCown\McCoJo01,QB,47,2002,2019
Josh Rosen\RoseJo01,QB,3,2018,2019
Joshua Dobbs\DobbJo00,QB,0,2018,2018
June Jones\JoneJu00,QB,3,1977,1981
Karl Sweetan\SweeKa00,QB,9,1966,1970
Kay Stephenson\StepKa00,QB,2,1967,1968
Keith Molesworth\MoleKe20,HB-QB,,1931,1937
Keith Null\NullKe00,QB,1,2009,2009
Keith Wenning\WennKe00,QB,,2014,2014
Kellen Clemens\ClemKe00,QB,10,2006,2017
Kellen Moore\MoorKe02,QB,2,2012,2015
Kelly Holcomb\HolcKe00,QB,16,1997,2007
Kelly Stouffer\StouKe00,QB,2,1988,1992
Ken Anderson\AndeKe00,QB,161,1971,1986
Ken Casanega\CasaKe20,QB-DB-HB,,1946,1948
Ken Dorsey\DorsKe00,QB,1,2004,2008
Ken Holley\HollKe20,QB,,1946,1946
Ken Karcher\KarcKe00,QB,2,1987,1988
Ken O'Brien\OBriKe00,QB,86,1984,1993
Ken Reese\ReesKe20,HB-QB,,1947,1947
Ken Stabler+\StabKe00,QB,119,1970,1984
Ken Stofer\StofKe20,QB-DB,,1946,1946
Kent Austin\AustKe20,QB,0,1986,1986
Kent Graham\GrahKe00,QB,23,1992,2001
Kent Nix\NixxKe00,QB,11,1967,1972
Kerry Collins\CollKe00,QB,111,1995,2011
Kerwin Bell\BellKe00,QB,0,1996,1996
Kevin Hogan\HogaKe00,QB,2,2016,2017
Kevin Ingram\IngrKe20,QB,0,1987,1987
Kevin Kolb\KolbKe00,QB,13,2007,2012
Kevin O'Connell\OConKe00,QB,0,2008,2008
Kevin Sweeney\SweeKe00,QB,2,1987,1988
Kevin Thompson\ThomKe00,QB,0,2000,2000
Kim Hammond\HammKi00,QB,0,1968,1969
Kim McQuilken\McQuKi00,QB,4,1974,1979
King Corcoran\CorcKi00,QB,0,1968,1968
King Hill\HillKi00,QB,23,1958,1969
Kirk Cousins\CousKi00,QB,69,2012,2019
Kliff Kingsbury\KingKl00,QB,0,2005,2005
Kordell Stewart\StewKo00,QB,68,1995,2005
Koy Detmer\DetmKo00,QB,4,1998,2006
Kurt Kittner\KittKu00,QB,1,2003,2003
Kurt Warner+\WarnKu00,QB,113,1998,2009
Kyle Allen\AlleKy00,QB,8,2018,2019
Kyle Boller\BollKy00,QB,18,2003,2011
Kyle Lauletta\LaulKy00,QB,0,2018,2018
Kyle Mackey\MackKy00,QB,3,1987,1989
Kyle Orton\OrtoKy00,QB,45,2005,2014
Kyler Murray\MurrKy00,QB,14,2019,2019
Lamar Jackson\JackLa00,QB,33,2018,2019
Lamar McHan\McHaLa00,QB,9,1954,1963
Landry Jones\JoneLa02,QB,4,2013,2017
Larry Cipa\CipaLa00,QB,1,1974,1975
Larry Lawrence\LawrLa00,QB,1,1974,1976
Larry Miller\MillLa20,QB,0,1987,1987
Larry Rakestraw\RakeLa00,QB,3,1966,1968
Larry Weldon\WeldLa20,QB,,1944,1945
Lee Grosscup\GrosLe00,QB,4,1960,1962
Len Dawson+\DawsLe00,QB,144,1957,1975
Leo Hart\HartLe00,QB,0,1971,1972
Levi Brown\BrowLe00,QB,0,2010,2010
Logan Thomas\ThomLo00,QB/TE,3,2014,2019
Loren Snyder\SnydLo20,QB,0,1987,1987
Lou Barle\BarlLo20,HB-QB,,1938,1939
Lou Mahrt\MahrLo20,QB,,1926,1927
Luke Falk\FalkLu00,QB,1,2019,2019
Luke McCown\McCoLu00,QB,8,2004,2015
Lynn Dickey\DickLy00,QB,78,1971,1985
M.C. Reynolds\ReynM.00,QB,1,1958,1962
Manch Wheeler\WheeMa00,QB,0,1962,1962
Marc Bulger\BulgMa00,QB,64,2002,2009
Marc Wilson\WilsMa00,QB,40,1980,1990
Marcus Mariota\MariMa01,QB,48,2015,2019
Marcus Vick\VickMa20,WR-QB,0,2006,2006
Mark Brunell\BrunMa00,QB,120,1994,2011
Mark Hartsell\HartMa20,QB,0,2000,2000
Mark Herrmann\HerrMa00,QB,12,1982,1992
Mark Malone\MaloMa00,QB-WR,30,1980,1989
Mark Manges\MangMa20,QB,0,1978,1978
Mark Miller\MillMa00,QB,1,1978,1979
Mark Miller\MillMa20,QB,0,1987,1987
Mark Reed\ReedMa20,QB,0,1983,1983
Mark Rypien\RypiMa00,QB,62,1988,2001
Mark Sanchez\SancMa00,QB,38,2009,2018
Mark Stevens\StevMa20,QB,1,1987,1987
Mark Vlasic\VlasMa00,QB,3,1987,1991
Marques Tuiasosopo\TuiaMa00,QB,1,2001,2008
Marty Domres\DomrMa00,QB,21,1969,1977
Marty Horn\HornMa20,QB,0,1987,1987
Mason Rudolph\RudoMa00,QB,3,2019,2019
Matt Barkley\BarkMa00,QB,4,2013,2019
Matt Blanchard\BlanMa00,QB,0,2012,2014
Matt Blundin\BlunMa00,QB,0,1993,1997
Matt Cassel\CassMa00,QB,51,2005,2018
Matt Cavanaugh\CavaMa00,QB,16,1979,1991
Matt Flynn\FlynMa00,QB,8,2008,2014
Matt Gutierrez\GutiMa00,QB,0,2007,2009
Matt Hasselbeck\HassMa00,QB,111,1999,2015
Matt Kofler\KoflMa00,QB,3,1982,1985
Matt Leinart\LeinMa00,QB,12,2006,2012
Matt Lytle\LytlMa00,QB,0,2000,2001
Matt Mauck\MaucMa00,QB,1,2005,2005
Matt McGloin\McGlMa01,QB,4,2013,2016
Matt Moore\MoorMa01,QB,21,2007,2019
Matt Robinson\RobiMa01,QB,12,1977,1982
Matt Ryan\RyanMa00,QB,179,2008,2019
Matt Schaub\SchaMa00,QB,81,2004,2019
Matt Simms\SimmMa00,QB,1,2013,2014
Matt Stevens\StevMa21,QB,1,1987,1987
Matthew Stafford\StafMa00,QB,118,2009,2019
Maury Duncan\DuncMa20,QB,,1954,1955
Max Choboian\ChobMa00,QB,3,1966,1966
Max Hall\HallMa00,QB,1,2010,2010
McLeod Bethel-Thompson\BethMc00,QB,0,2012,2014
Menz Lindsey\LindMe20,BB-QB,,1921,1921
Michael Bishop\BishMi00,QB,0,2000,2000
Michael Vick\VickMi00,QB,113,2001,2015
Mickey Kobrosky\KobrMi20,QB,,1937,1937
Mickey Slaughter\SlauMi00,QB,8,1963,1966
Mike Boryla\BoryMi00,QB,8,1974,1978
Mike Buck\BuckMi00,QB,2,1991,1995
Mike Busch\BuscMi20,QB,1,1987,1987
Mike Cherry\CherMi00,QB,0,1997,1998
Mike Elkins\ElkiMi00,QB,0,1989,1989
Mike Ernst\ErnsMi00,QB,0,1972,1973
Mike Glennon\GlenMi00,QB,13,2013,2019
Mike Hohensee\HoheMi20,QB,1,1987,1987
Mike Hold\HoldMi20,QB,1,1987,1987
Mike Kafka\KafkMi00,QB,0,2011,2014
Mike Kelley\KellMi21,QB,1,1987,1987
Mike Kerrigan\KerrMi00,QB,0,1983,1984
Mike Kirkland\KirkMi00,QB,1,1978,1978
Mike Koken\KokeMi20,QB-HB,,1933,1933
Mike Kruczek\KrucMi00,QB,7,1976,1980
Mike Livingston\LiviMi00,QB,51,1968,1979
Mike Loyd\LoydMi00,QB,0,1980,1980
Mike Machurek\MachMi00,QB,1,1984,1984
Mike McMahon\McMaMi00,QB,6,2001,2005
Mike Micka\MickMi20,FB-HB-QB,,1944,1948
Mike Moroski\MoroMi00,QB,8,1979,1986
Mike Norseth\NorsMi20,QB,0,1988,1988
Mike Nott\NottMi00,QB,0,1976,1976
Mike Pagel\PageMi00,QB,33,1982,1993
Mike Perrie\PerrMi20,QB,,1939,1939
Mike Phipps\PhipMi00,QB,46,1970,1981
Mike Quinn\QuinMi00,QB,0,1997,1998
Mike Rae\RaexMi00,QB,9,1976,1979
Mike Taliaferro\TaliMi00,QB,12,1964,1972
Mike Tomczak\TomcMi00,QB,57,1985,1999
Mike Wells\WellMi21,QB,0,1977,1977
Milt Plum\PlumMi00,QB,59,1957,1969
Milt Smith\SmitMi24,DB-QB,,1945,1945
Mitchell Trubisky\TrubMi00,QB,28,2017,2019
Monte McGuire\McGuMo20,QB,0,1987,1987
Moses Moreno\MoreMo00,QB,1,1998,2000
Murray Evans\EvanMu20,BB-QB,,1942,1943
Nate Sudfeld\SudfNa00,QB,1,2017,2018
Nathan Peterman\PeteNa00,QB,2,2017,2018
Neal Jeffrey\JeffNe00,QB,0,1976,1976
Neil Graff\GrafNe00,QB,1,1974,1977
Neil Lomax\LomaNe00,QB,82,1981,1988
Neil O'Donnell\ODonNe00,QB,72,1991,2003
Nick Foles\FoleNi00,QB,32,2012,2019
Nick Mullens\MullNi00,QB,6,2018,2019
Nick Papac\PapaNi00,QB,1,1961,1961
Nick Sacrinty\SacrNi20,QB,,1947,1947
Nick Scollard\ScolNi20,E-QB,,1946,1949
Nick Sebek\SebeNi20,QB,,1950,1950
Nick Stephens\StepNi00,QB,0,2012,2012
Norm Cox\CoxxNo20,QB-TB,,1946,1947
Norm Snead\SneaNo00,QB,115,1961,1976
Norm Van Brocklin+\VanBNo00,QB,17,1949,1960
Norris Weese\WeesNo00,QB-P,10,1976,1979
Ogden Compton\CompOg20,QB,,1955,1955
Oliver Luck\LuckOl00,QB,6,1983,1986
Otto Graham+\GrahOt00,QB-DB,,1946,1955
Pard Pearce\PearPa20,QB-BB,,1920,1925
Parnell Dickinson\DickPa00,QB,1,1976,1976
Pat Barnes\BarnPa20,QB,0,1999,1999
Pat Brady\BradPa21,QB-K,,1952,1954
Pat Devlin\DevlPa00,QB,0,2012,2014
Pat Haden\HadePa00,QB,36,1976,1981
Pat Ryan\RyanPa00,QB,14,1978,1991
Pat Sullivan\SullPa00,QB,3,1972,1975
Patrick Mahomes\MahoPa00,QB,40,2017,2019
Patrick Ramsey\RamsPa00,QB,15,2002,2008
Paul Christman\ChriPa20,QB,,1945,1950
Paul Collins\CollPa22,QB,,1945,1945
Paul Governali\GovePa20,QB-TB,,1946,1948
Paul Held\HeldPa20,QB,,1954,1955
Paul Hornung+\HornPa00,HB-FB-QB,50,1957,1966
Paul Justin\JustPa00,QB,8,1995,1999
Paul Larson\LarsPa00,QB,0,1957,1960
Paul McDonald\McDoPa00,QB,15,1980,1986
Paul Rickards\RickPa20,QB,,1948,1948
Paxton Lynch\LyncPa00,QB,2,2016,2017
Perry Klein\KleiPe20,QB,0,1994,1994
Perry Moss\MossPe20,QB,,1948,1948
Pete Beathard\BeatPe00,QB,31,1964,1973
Pete Gonzalez\GonzPe00,QB,0,1999,1999
Pete Lauer\LauePe20,FB-QB,,1922,1922
Pete Liske\LiskPe00,QB,19,1964,1972
Pete Mikolajewski\MikoPe20,QB,0,1969,1969
Peter Tom Willis\WillPe00,QB,4,1990,1993
Peyton Manning\MannPe00,QB,271,1998,2015
Phil Simms\SimmPh00,QB,118,1979,1993
Philip Rivers\RivePh00,QB,204,2004,2019
Porter Lainhart\LainPo20,QB,,1933,1933
Quincy Carter\CartQu00,QB,18,2001,2004
Quinn Gray\GrayQu00,QB,6,2005,2008
Rabbit Keen\KeenRa20,QB,,1937,1938
Ralph Guglielmi\GuglRa00,QB,13,1955,1963
Ralph Marston\MarsRa21,QB,,1929,1929
Randall Cunningham\CunnRa00,QB,134,1985,2001
Randy Dean\DeanRa00,QB,2,1977,1979
Randy Duncan\DuncRa00,QB,2,1961,1961
Randy Fasani\FasaRa00,QB,1,2002,2002
Randy Hedberg\HedbRa00,QB,1,1977,1977
Randy Johnson\JohnRa00,QB,28,1966,1976
Randy Wright\WrigRa00,QB,15,1984,1988
Ray Brown\BrowRa21,DB-QB,2,1958,1960
Ray Lucas\LucaRa00,QB,12,1996,2002
Ray Mallouf\MallRa20,QB-TB,,1941,1949
Ray Nagel\NageRa20,QB,,1953,1953
Reggie Collier\CollRe20,QB,1,1986,1987
Reggie McNeal\McNeRe00,QB,0,2006,2006
Reino Nori\NoriRe20,QB,,1937,1938
Rex Grossman\GrosRe00,QB,25,2003,2012
Rich Campbell\CampRi00,QB,2,1981,1984
Rich Gannon\GannRi00,QB,120,1987,2004
Richard Badar\BadaRi20,QB,0,1967,1967
Richard Bartel\BartRi00,QB,0,2010,2011
Richard Todd\ToddRi00,QB,72,1976,1985
Richie Lucas\LucaRi00,QB-DB-HB,4,1960,1961
Rick Arrington\ArriRi00,QB,4,1970,1972
Rick McIvor\McIvRi20,QB,0,1984,1985
Rick Mirer\MireRi00,QB,35,1993,2003
Rick Neuheisel\NeuhRi20,QB,1,1987,1987
Rick Norton\NortRi00,QB,6,1966,1970
Rick Strom\StroRi00,QB,1,1989,1991
Rick Trocano\TrocRi20,QB-DB,0,1981,1982
Ricky Stanzi\StanRi00,QB,0,2012,2014
Ricky Turner\TurnRi21,QB,1,1988,1988
Rob Hertel\HertRo20,QB,0,1978,1978
Rob Johnson\JohnRo00,QB,21,1995,2003
Robert Griffin\GrifRo01,QB,38,2012,2019
Rodney Peete\PeetRo00,QB,56,1989,2004
Roger Grove\GrovRo20,BB-HB-QB,,1931,1935
Roger Staubach+\StauRo00,QB,128,1969,1979
Rohan Davey\DaveRo01,QB,0,2002,2004
Roman Gabriel\GabrRo00,QB,131,1962,1977
Ron Jaworski\JawoRo00,QB,106,1974,1989
Ron Meyer\MeyeRo00,QB,0,1966,1966
Ron Miller\MillRo01,QB,1,1962,1962
Ron Smith\SmitRo03,QB,5,1965,1966
Ron Vander Kelen\VandRo00,QB,6,1963,1967
Ronnie Knox\KnoxRo20,QB,,1957,1957
Ronnie Lee South\SoutRo00,QB-P,0,1968,1968
Roy Zimmerman\ZimmRo20,QB-WB-K,,1940,1948
Rudy Bukich\BukiRu00,QB,32,1953,1968
Rudy Carpenter\CarpRu00,QB,0,2011,2011
Russ Cotton\CottRu20,QB,,1942,1942
Russell Wilson\WilsRu00,QB,129,2012,2019
Rusty Hilger\HilgRu00,QB,5,1985,1991
Rusty Lisch\LiscRu00,QB,2,1980,1984
Rusty Smith\SmitRu01,QB,1,2010,2012
Ryan Finley\FinlRy00,QB,1,2019,2019
Ryan Fitzpatrick\FitzRy00,QB,96,2005,2019
Ryan Griffin\GrifRy01,QB,0,2014,2019
Ryan Leaf\LeafRy00,QB,1,1998,2001
Ryan Lindley\LindRy00,QB,-4,2012,2015
Ryan Mallett\MallRy00,QB,4,2012,2017
Ryan Nassib\NassRy00,QB,0,2014,2015
Ryan Tannehill\TannRy00,QB,72,2012,2019
Sage Rosenfels\RoseSa00,QB,14,2002,2010
Sam Adkins\AdkiSa00,QB,2,1977,1981
Sam Bradford\BradSa00,QB,49,2010,2018
Sam Darnold\DarnSa00,QB,13,2018,2019
Sam Etcheverry\EtchSa00,QB,8,1961,1962
Sam Vacanti\VacaSa20,QB,,1947,1949
Sam Wyche\WychSa00,QB,10,1968,1976
Sammy Baugh+\BaugSa00,QB-TB,,1937,1952
Sammy Garza\GarzSa20,QB,1,1987,1987
Sandy Osiecki\OsieSa20,QB,0,1984,1984
Scott Brunner\BrunSc00,QB,17,1980,1985
Scott Bull\BullSc00,QB,5,1976,1978
Scott Campbell\CampSc00,QB,8,1984,1990
Scott Covington\CoviSc00,QB,0,1999,2002
Scott Gudmundson\GudmSc20,QB,,1944,1945
Scott Hunter\HuntSc00,QB,22,1971,1979
Scott Milanovich\MilaSc00,QB,0,1996,1996
Scott Mitchell\MitcSc00,QB,53,1991,2001
Scott Secules\SecuSc00,QB,5,1989,1993
Scott Stankavage\StanSc00,QB,0,1984,1987
Scott Tinsley\TinsSc20,QB,2,1987,1987
Scott Tolzien\TolzSc00,QB,3,2012,2017
Scott Woolf\WoolSc20,QB,0,1987,1987
Scott Zolak\ZolaSc00,QB,4,1992,1999
Scotty Glacken\GlacSc00,QB,0,1966,1967
Sean Mannion\MannSe00,QB,1,2015,2019
Sean Payton\PaytSe20,QB,0,1987,1987
Sean Renfree\RenfSe00,QB,0,2014,2015
Sean Salisbury\SaliSe00,QB,11,1987,1996
Seneca Wallace\WallSe00,QB,16,2005,2013
Seth Lobato\LobaSe00,QB,,2014,2014
Shane Matthews\MattSh00,QB,8,1996,2004
Shaun Hill\HillSh00,QB,24,2005,2016
Shaun King\KingSh00,QB,18,1999,2004
Shawn Halloran\HallSh20,QB,1,1987,1987
Shawn Moore\MoorSh00,QB,1,1992,1992
Shorty Elness\ElneSh20,HB-QB,,1929,1929
Sid Luckman+\LuckSi00,QB-HB-DB,,1939,1950
Solly Sherman\SherSo20,QB,,1939,1940
Sonny Gibbs\GibbSo00,QB,0,1964,1964
Sonny Jurgensen+\JurgSo00,QB,139,1957,1974
Sonny Winters\WintSo20,BB-QB,,1923,1924
Spergon Wynn\WynnSp00,QB,2,2000,2001
Stan Gelbaugh\GelbSt00,QB,2,1989,1996
Stan Heath\HeatSt20,QB,,1949,1949
Stan Humphries\HumpSt00,QB,55,1989,1997
Stephen McGee\McGeSt00,QB,2,2010,2011
Stephen Morris\MorrSt00,QB,,2014,2014
Steve Bartkowski\BartSt00,QB,85,1975,1986
Steve Beuerlein\BeueSt00,QB,85,1988,2003
Steve Bono\BonoSt00,QB,36,1985,1999
Steve Bradley\BradSt20,QB,0,1987,1987
Steve DeBerg\DebeSt00,QB,107,1978,1998
Steve Dils\DilsSt00,QB,16,1979,1988
Steve Fuller\FullSt00,QB,32,1979,1986
Steve Grogan\GrogSt00,QB,116,1975,1990
Steve Joachim\JoacSt20,QB,0,1976,1976
Steve Matthews\MattSt00,QB,1,1997,1998
Steve McNair\McNaSt00,QB,126,1995,2007
Steve Myer\MyerSt00,QB,4,1977,1979
Steve Nemeth\NemeSt20,QB-HB,,1945,1947
Steve Pelluer\PellSt00,QB,25,1984,1990
Steve Pisarkiewicz\PisaSt00,QB,2,1978,1980
Steve Ramsey\RamsSt00,QB,25,1970,1976
Steve Romanik\RomaSt00,QB,,1950,1954
Steve Sloan\SloaSt00,QB,0,1966,1967
Steve Spurrier\SpurSt00,QB-P,29,1967,1976
Steve Stenstrom\StenSt00,QB,6,1996,1999
Steve Tensi\TensSt00,QB,21,1965,1970
Steve Walsh\WalsSt00,QB,22,1989,1999
Steve Young+\YounSt00,QB,171,1985,1999
Stoney Case\CaseSt00,QB,4,1995,2000
T.J. Rubley\RublTJ00,QB,5,1993,1995
T.J. Yates\YateT.00,QB,6,2011,2017
Tarvaris Jackson\JackTa00,QB,23,2006,2015
Taylor Heinicke\HeinTa00,QB,1,2017,2018
Taysom Hill\HillTa00,QB,6,2017,2019
Ted Marchibroda\MarcTe20,QB,,1953,1957
Ted Wright\WrigTe20,HB-QB,,1934,1935
Teddy Bridgewater\BridTe00,QB,28,2014,2019
Tee Martin\MartTe00,QB,0,2001,2003
Terrelle Pryor\PryoTe00,QB,18,2011,2018
Terry Baker\BakeTe00,QB,6,1963,1965
Terry Bradshaw+\BradTe00,QB,137,1970,1983
Terry Hanratty\HanrTe00,QB,8,1969,1976
Terry Luck\LuckTe00,QB,1,1977,1977
Terry Nofsinger\NofsTe00,QB,1,1961,1967
Terry Nugent\NugeTe20,QB,0,1987,1987
Thaddeus Lewis\LewiTh01,QB,4,2012,2014
Tim Boyle\BoylTi00,QB,0,2019,2019
Tim Couch\CoucTi00,QB,32,1999,2003
Tim Hasselbeck\HassTi00,QB,1,2002,2007
Tim Rattay\RattTi00,QB,13,2000,2007
Tim Riordan\RiorTi20,QB,0,1987,1987
Tim Tebow\TeboTi00,QB,12,2010,2012
Tim Van Galder\VanGTi00,QB,2,1972,1972
Timm Rosenbach\RoseTi00,QB,13,1989,1992
Tobin Rote\RoteTo00,QB,16,1950,1966
Todd Blackledge\BlacTo00,QB,13,1983,1989
Todd Bouman\BoumTo00,QB,6,2001,2010
Todd Collins\CollTo00,QB,11,1995,2010
Todd Hons\HonsTo20,QB,2,1987,1987
Todd Husak\HusaTo20,QB,0,2000,2000
Todd Marinovich\MariTo00,QB,3,1991,1992
Todd Philcox\PhilTo00,QB,3,1990,1997
Todd Whitten\WhitTo20,QB,0,1987,1987
Tom Brady\BradTo00,QB,280,2000,2019
Tom Brandstater\BranTo00,QB,0,2011,2011
Tom Clements\ClemTo20,QB,0,1980,1980
Tom Dimitroff\DimiTo00,QB,0,1960,1960
Tom Dublinski\DublTo00,QB,0,1952,1960
Tom Duniven\DuniTo20,QB,0,1977,1977
Tom Farris\FarrTo20,QB,,1946,1948
Tom Flick\FlicTo00,QB,1,1981,1986
Tom Flores\FlorTo00,QB,44,1960,1969
Tom Greene\GreeTo20,QB-P,2,1960,1961
Tom Hodson\HodsTo00,QB,4,1990,1995
Tom Kennedy\KennTo00,QB,3,1966,1966
Tom Landry+\LandTo00,DB-HB-QB,,1949,1955
Tom Matte\MattTo00,RB-QB,79,1961,1972
Tom Myers\MyerTo00,QB,0,1965,1966
Tom O'Malley\OMalTo20,QB,,1950,1950
Tom Owen\OwenTo00,QB,9,1974,1981
Tom Ramsey\RamsTo00,QB,5,1986,1989
Tom Savage\SavaTo00,QB,4,2014,2017
Tom Sherman\SherTo00,QB,1,1968,1969
Tom Tupa\TupaTo20,QB-P,39,1988,2004
Tom Yewcic\YewcTo00,QB-P-HB,12,1961,1966
Tommy Boutwell\BoutTo00,WR-QB,0,1969,1969
Tommy Kramer\KramTo00,QB,85,1977,1990
Tommy Maddox\MaddTo00,QB,25,1992,2005
Tommy Mont\MontTo20,QB-HB,,1947,1949
Tommy O'Connell\OConTo00,QB,3,1953,1961
Tommy Thompson\ThomTo21,QB,,1940,1950
Tommy Wade\WadeTo00,QB,1,1964,1965
Tony Adams\AdamTo00,QB,10,1975,1987
Tony Banks\BankTo00,QB,48,1996,2005
Tony Dungy+\DungTo20,DB-QB,9,1977,1979
Tony Eason\EasoTo00,QB,39,1983,1990
Tony Graziani\GrazTo00,QB,3,1997,1999
Tony Pike\PikeTo00,QB,0,2010,2010
Tony Robinson\RobiTo20,QB,1,1987,1987
Tony Romo\RomoTo00,QB,116,2004,2016
Tony Sacca\SaccTo00,QB,0,1992,1992
Tory Woodbury\WoodTo02,QB,0,2001,2002
Trace McSorley\McSoTr00,QB,0,2019,2019
Travis Brown\BrowTr01,QB,1,2000,2003
Travis Tidwell\TidwTr20,QB,,1950,1951
Trent Dilfer\DilfTr00,QB,60,1994,2007
Trent Edwards\EdwaTr01,QB,18,2007,2012
Trent Green\GreeTr00,QB,111,1997,2008
Trevone Boykin\BoykTr00,QB,0,2016,2016
Trevor Siemian\SiemTr00,QB,13,2015,2019
Troy Aikman+\AikmTr00,QB,122,1989,2000
Troy Smith\SmitTr02,QB,6,2007,2010
Troy Taylor\TaylTr00,QB,0,1990,1991
Tuffy Leemans+\LeemTu20,FB-TB-DB-QB,,1936,1943
Turk Schonert\SchoTu00,QB,13,1981,1989
Ty Detmer\DetmTy00,QB,15,1993,2003
Tyler Bray\BrayTy00,QB,0,2014,2017
Tyler Palko\PalkTy00,QB,2,2010,2011
Tyler Thigpen\ThigTy00,QB,10,2007,2014
Tyrod Taylor\TaylTy00,QB,43,2011,2019
Val Keckin\KeckVa00,QB,0,1962,1962
Vern Huffman\HuffVe20,BB-TB-HB-QB,,1937,1938
Vic Eaton\EatoVi20,QB-DB,,1955,1955
Vince Evans\EvanVi00,QB,34,1977,1995
Vince Ferragamo\FerrVi00,QB,34,1977,1986
Vince Oliver\OlivVi20,QB,,1945,1945
Vince Young\YounVi00,QB,36,2006,2011
Vinny Testaverde\TestVi00,QB,142,1987,2007
Virgil Carter\CartVi00,QB,28,1968,1976
Wade Wilson\WilsWa00,QB,60,1981,1998
Wally Richardson\RichWa00,QB,0,1998,1998
Walt Rankin\RankWa20,QB-FB,,1941,1947
Walter Briggs\BrigWa20,QB,0,1987,1987
Warren Moon+\MoonWa00,QB,166,1984,2000
Warren Rabb\RabbWa00,QB,6,1960,1962
Wayne Clark\ClarWa00,QB,2,1970,1975
Wayne Gift\GiftWa20,QB,,1937,1937
Will Cureton\CureWi00,QB,0,1975,1975
Will Furrer\FurrWi00,QB,1,1992,1995
Will Grier\GrieWi00,QB,1,2019,2019
Willie Gillus\GillWi21,QB,0,1987,1987
Willie Thrower\ThroWi20,QB,,1953,1953
Willie Totten\TottWi20,QB,0,1987,1987
Y.A. Tittle+\TittY.00,QB,47,1948,1964
Young Bussey\BussYo20,QB,,1941,1941
Zac Dysert\DyseZa00,QB,,2014,2014
Zac Robinson\RobiZa00,QB,0,2012,2012
Zach Mettenberger\MettZa00,QB,1,2014,2015
Zeke Bratkowski\BratZe00,QB,22,1954,1971
