Player,Pos,AV,From,To
Bruce Perkins\PerkBr00,RB,1,1990,1991
Bruce Perry\PerrBr01,RB,0,2005,2006
Bryce Brown\BrowBr02,RB,10,2012,2015
Bubba Bean\BeanBu00,RB,14,1976,1979
Buddy Hardeman\HardBu00,RB,6,1979,1980
Buddy Howell\HoweBu00,RB,0,2018,2018
Buddy Howell\HoweGr00,RB,0,2018,2019
Buford Jordan\JordBu00,RB,9,1986,1992
Buford McGee\McGeBu00,RB,18,1984,1992
Burnie Legette\LegeBu20,RB,0,1993,1994
Butch Woolfolk\WoolBu00,RB,28,1982,1988
Butler By'not'e\BynoBu20,RB,0,1994,1995
Byron Hanspard\HansBy00,RB,8,1997,1999
Byron Marshall\MarsBy01,RB,0,2016,2018
Byron Storer\StorBy00,RB,0,2007,2008
C.J. Anderson\AndeC.00,RB,28,2013,2019
C.J. Ham\HamxC.00,RB,4,2017,2019
C.J. Prosise\ProsC.00,RB,5,2016,2019
C.J. Spiller\SpilC.00,RB,37,2010,2017
Cadillac Williams\WillCa02,RB,29,2005,2011
Calvin Hill\HillCa00,RB,88,1969,1981
Calvin Jones\JoneCa00,RB,1,1994,1996
Calvin Murray\MurrCa20,RB,1,1981,1982
Calvin Thomas\ThomCa00,RB,6,1982,1988
Cameron Artis-Payne\ArtiCa00,RB,5,2015,2018
Cannonball Butler\ButlCa00,RB,35,1965,1972
Carey Bender\BendCa20,RB,0,1996,1996
Carey Davis\DaviCa00,RB,1,2004,2009
Carl Byrum\ByruCa00,RB,5,1986,1988
Carl Fair\FairCa20,RB,0,2001,2001
Carl Garrett\GarrCa00,RB,58,1969,1977
Carl Monroe\MonrCa00,RB,5,1983,1987
Carl Painter\PainCa20,RB,1,1988,1989
Carl Woods\WoodCa20,RB,0,1987,1987
Carlos Hyde\HydeCa00,RB,31,2014,2019
Carlos King\KingCa00,RB,0,1998,1998
Casey Tiumalu\TiumCa20,RB,0,1987,1987
Cecil Collins\CollCe00,RB,3,1999,1999
Cecil Sapp\SappCe00,RB,2,2003,2008
Cedric Benson\BensCe00,RB,39,2005,2012
Cedric Cobbs\CobbCe00,RB,0,2004,2006
Cedric Houston\HousCe00,RB,5,2005,2006
Cedric Jackson\JackCe20,RB,0,1991,1991
Cedric Minter\MintCe00,RB,2,1984,1985
Cedric Peerman\PeerCe00,RB,4,2009,2016
Chad Dukes\DukeCh00,RB,0,2000,2000
Chad Levitt\LeviCh20,RB,0,1997,1997
Chad Morton\MortCh00,RB,10,2000,2006
Chad Simpson\SimpCh00,RB,3,2008,2010
Chad Spann\SpanCh00,RB,0,2011,2013
Chad Stark\StarCh20,RB,0,1987,1987
Champ Henson\HensCh00,RB,0,1975,1975
Chandler Cox\CoxxCh01,RB,0,2019,2019
Charcandrick West\WestCh01,RB,13,2014,2018
Charles Alexander\AlexCh00,RB,31,1979,1985
Charles Ali\AlixCh00,RB,0,2007,2008
Charles Crawford\CrawCh00,RB,1,1986,1987
Charles Evans\EvanCh00,RB,11,1993,2000
Charles Gladman\GladCh21,RB,0,1987,1987
Charles Sims\SimsCh00,RB,14,2014,2017
Charles Way\WayxCh00,RB,16,1995,1999
Charles White\WhitCh00,RB,32,1980,1988
Charley Young\YounCh01,RB,11,1974,1976
Charlie Brown\BrowCh02,RB,1,1967,1968
Charlie Bryant\BryaCh00,RB,2,1966,1969
Charlie Davis\DaviCh00,RB,7,1974,1976
Charlie Evans\EvanCh01,RB,11,1971,1974
Charlie Garner\GarnCh00,RB,84,1994,2004
Charlie Harraway\HarrCh00,RB,47,1966,1973
Charlie Leigh\LeigCh00,RB,4,1968,1974
Charlie Pittman\PittCh00,RB,0,1970,1971
Charlie Rogers\RogeCh00,RB,3,1999,2003
Charlie Smith\SmitCh01,RB,48,1968,1975
Charlie Thomas\ThomCh20,RB,0,1975,1975
Charlie White\WhitCh01,RB,2,1977,1978
Chase Edmonds\EdmoCh00,RB,5,2018,2019
Chase Reynolds\ReynCh00,RB,0,2012,2016
Chauncey Washington\WashCh00,RB,0,2008,2011
Chester Taylor\TaylCh01,RB,47,2002,2011
Chester Willis\WillCh00,RB,0,1981,1984
Chet Winters\WintCh20,RB,0,1983,1983
Chris Barclay\BarcCh00,RB,0,2007,2007
Chris Brewer\BrewCh00,RB,1,1984,1987
Chris Brown\BrowCh03,RB,25,2003,2009
Chris Carson\CarsCh00,RB,22,2017,2019
Chris Floyd\FloyCh00,RB,0,1998,2000
Chris Fuamatu-Ma'afala\FuamCh00,RB,10,1998,2004
Chris Gronkowski\GronCh00,RB,0,2010,2012
Chris Henry\HenrCh01,RB,1,2007,2010
Chris Howard\HowaCh00,RB,1,1998,2000
Chris Ivory\IvorCh00,RB,39,2010,2018
Chris Jennings\JennCh00,RB,2,2009,2009
Chris Johnson\JohnCh04,RB,83,2008,2017
Chris Massey\MassCh00,RB,8,2002,2011
Chris McLemore\McLeCh20,RB,0,1987,1988
Chris Ogbonnaya\OgboCh00,RB,8,2009,2014
Chris Parker\ParkCh21,RB,0,1997,1997
Chris Perry\PerrCh00,RB,9,2004,2008
Chris Polk\PolkCh00,RB,6,2012,2015
Chris Pressley\PresCh00,RB,0,2009,2012
Chris Rainey\RainCh00,RB,1,2012,2013
Chris Samuels\SamuCh20,RB,0,1991,1991
Chris Smith\SmitCh22,RB,1,1986,1987
Chris Taylor\TaylCh02,RB,1,2006,2008
Chris Thompson\ThomCh03,RB,21,2013,2019
Chris Warren\WarrCh00,RB,70,1990,2000
Christian McCaffrey\McCaCh01,RB,40,2017,2019
Christian Okoye\OkoyCh00,RB,36,1987,1992
Christine Michael\MichCh00,RB,9,2013,2018
Chuck Banks\BankCh00,RB,3,1986,1987
Chuck Foreman\ForeCh00,RB,92,1973,1980
Chuck Levy\LevyCh00,RB,4,1994,1998
Chuck McSwain\McSwCh20,RB,0,1983,1987
Chuck Mercein\MercCh00,RB,5,1965,1970
Chuck Muncie\MuncCh00,RB,85,1976,1984
Chuck Sanders\SandCh21,RB,0,1986,1987
Chuck Weatherspoon\WeatCh20,RB,0,1991,1991
Ciatrick Fason\FasoCi00,RB,1,2005,2006
Cid Edwards\EdwaCi00,RB,39,1968,1975
Cierre Wood\WoodCi00,RB,0,2013,2015
Clarence Bailey\BailCl20,RB,0,1987,1987
Clarence Davis\DaviCl00,RB,49,1971,1978
Clarence Harmon\HarmCl00,RB,25,1977,1982
Clarence Hawkins\HawkCl20,RB,1,1979,1979
Clarence Williams\WillCl00,RB,0,2000,2000
Clarence Williams\WillCl01,RB,18,1977,1981
Clark Gaines\GainCl00,RB,32,1976,1982
Claxton Welch\WelcCl00,RB,0,1969,1973
Clayton Heath\HeatCl20,RB,0,1976,1976
Clem Turner\TurnCl00,RB,3,1969,1972
Cleo Miller\MillCl00,RB,33,1974,1982
Cleve Wester\WestCl20,RB,1,1987,1987
Cleveland Franklin\FranCl00,RB,8,1977,1982
Cleveland Gary\GaryCl00,RB,25,1989,1994
Clif Groce\GrocCl00,RB,3,1995,2000
Cliff Austin\AustCl00,RB,5,1983,1987
Cliff Chatman\ChatCl20,RB,1,1982,1982
Cliff McClain\McClCl00,RB,6,1970,1973
Cliff Taylor\TaylCl00,RB,1,1974,1976
Clifton Dawson\DawsCl00,RB,1,2007,2008
Clifton Smith\SmitCl22,RB,2,2008,2010
Clint Jones\JoneCl00,RB,27,1967,1973
Clinton Portis\PortCl00,RB,82,2002,2010
Collin Mooney\MoonCo00,RB,0,2012,2013
Corey Clement\ClemCo00,RB,6,2017,2019
Corey Croom\CrooCo00,RB,2,1993,1995
Corey Dillon\DillCo00,RB,91,1997,2006
Corey Grant\GranCo00,RB,4,2015,2018
Corey Walker\WalkCo00,RB,0,1998,1998
Correll Buckhalter\BuckCo00,RB,32,2001,2010
Cory Boyd\BoydCo01,RB,0,2008,2008
Cory Ross\RossCo00,RB,0,2006,2007
Craig Ellis\ElliCr20,RB,1,1986,1987
Craig Heyward\HeywCr00,RB,44,1988,1998
Craig James\JameCr00,RB,24,1984,1988
Craig Reynolds\ReynCr00,RB,0,2019,2019
Craig Taylor\TaylCr00,RB,5,1989,1991
Craig Walendy\WaleCr20,RB,0,2000,2000
Cullen Bryant\BryaCu00,RB,36,1973,1987
Cullen Gillaspia\GillCu00,RB,0,2019,2019
Curt Warner\WarnCu00,RB,67,1983,1990
Curtis Adams\AdamCu00,RB,6,1985,1988
Curtis Bledsoe\BledCu20,RB,1,1981,1982
Curtis Brinkley\BrinCu00,RB,2,2010,2012
Curtis Brown\BrowCu00,RB,23,1977,1983
Curtis Dickey\DickCu00,RB,42,1980,1986
Curtis Enis\EnisCu00,RB,10,1998,2000
Curtis Keaton\KeatCu00,RB,0,2000,2002
Curtis Martin+\MartCu00,RB,128,1995,2005
Curtis Stewart\StewCu20,RB,0,1989,1989
Curvin Richards\RichCu00,RB,2,1991,1993
Cyril Pinder\PindCy00,RB,20,1968,1973
Cyrus Gray\GrayCy00,RB,1,2012,2014
D.J. Adams\AdamD.00,RB,,2014,2014
D.J. Dozier\DoziDJ00,RB,8,1987,1991
D.J. Foster\FostD.01,RB,1,2016,2019
D'Ernest Johnson\JohnDE04,RB,1,2019,2019
D'Onta Foreman\ForeDO00,RB,3,2017,2018
Da'Rel Scott\ScotDa01,RB,1,2011,2013
Dahrran Diedrick\DiedDa20,RB,0,2004,2004
Dalton Hilliard\HillDa00,RB,54,1986,1993
Dalvin Cook\CookDa01,RB,24,2017,2019
Dalyn Dawkins\DawkDa01,RB,0,2018,2019
Dameon Hunter\HuntDa21,RB,0,2002,2002
Damien Anderson\AndeDa00,RB,2,2002,2005
Damien Berry\BerrDa00,RB,0,2012,2012
Damien Harris\HarrDa06,RB,0,2019,2019
Damien Nash\NashDa00,RB,1,2005,2006
Damien Williams\WillDa05,RB,18,2014,2019
Damon Washington\WashDa00,RB,1,2000,2002
Dan Alexander\AlexDa21,RB,0,2001,2003
Dan Doornink\DoorDa00,RB,34,1978,1985
Dan Herron\HerrDa00,RB,5,2012,2015
Dan Reeder\ReedDa20,RB,0,1986,1987
Dan Reeves\ReevDa00,RB,40,1965,1972
Dan Rice\RiceDa20,RB,0,1987,1987
Dana Wright\WrigDa20,RB,1,1987,1987
Daniel Lasco\LascDa00,RB,0,2016,2017
Daniel Thomas\ThomDa03,RB,12,2011,2014
Danny Bradley\BradDa21,RB,0,1987,1987
Danny Pierce\PierDa00,RB,0,1970,1970
Danny Ware\WareDa00,RB,5,2007,2012
Danny Woodhead\WoodDa02,RB,43,2009,2017
Dante Brown\BrowDa02,RB,0,2004,2004
Dantrell Savage\SavaDa20,RB,1,2008,2009
Dare Ogunbowale\OgunDa00,RB,2,2017,2019
Darick Holmes\HolmDa00,RB,17,1995,1999
Darius Jackson\JackDa01,RB,0,2018,2018
Darius Walker\WalkDa00,RB,3,2007,2007
Darnell Autry\AutrDa00,RB,7,1997,2000
Darnell Powell\PoweDa00,RB,1,1976,1978
Darrel Williams\WillDa10,RB,4,2018,2019
Darrell Henderson\HendDa00,RB,1,2019,2019
Darrell Thompson\ThomDa01,RB,17,1990,1994
Darren Evans\EvanDa00,RB,0,2011,2012
Darren Lewis\LewiDa00,RB,5,1991,1993
Darren McFadden\McFaDa00,RB,45,2008,2017
Darren Sproles\SproDa00,RB,80,2005,2019
Darrin Nelson\NelsDa00,RB,56,1982,1992
Darrin Reaves\ReavDa00,RB,1,2014,2014
Darryl Clack\ClacDa00,RB,2,1986,1989
Darryl Clark\ClarDa23,RB,0,1987,1987
Darryl Harris\HarrDa00,RB,1,1988,1988
Darryl Oliver\OlivDa20,RB,0,1987,1987
Darwin Thompson\ThomDa06,RB,1,2019,2019
Daryl Johnston\JohnDa00,RB,30,1989,1999
Daryl Richardson\RichDa00,RB,7,2012,2016
Dave Atkins\AtkiDa00,RB,0,1973,1975
Dave Barrett\BarrDa21,RB,0,1982,1982
Dave D'Addio\DAddDa20,RB,0,1984,1984
Dave Farmer\FarmDa20,RB,0,1978,1978
Dave Gagnon\GagnDa00,RB,0,1974,1974
Dave Hampton\HampDa00,RB,50,1969,1976
Dave Kopay\KopaDa00,RB,14,1964,1972
Dave Meggett\MeggDa00,RB,52,1989,1998
Dave Osborn\OsboDa00,RB,55,1965,1976
Dave Preston\PresDa00,RB,25,1978,1983
Dave Romasko\RomaDa20,RB,0,1987,1987
Dave Smith\SmitDa01,RB,1,1970,1970
Dave Williams\WillDa01,RB,14,1977,1981
David Adams\AdamDa20,RB,0,1987,1987
David Allen\AlleDa00,RB,1,2003,2005
David Cobb\CobbDa00,RB,1,2015,2015
David Fluellen\FlueDa00,RB,0,2017,2019
David Green\GreeDa21,RB,0,1982,1982
David Green\GreeDa22,RB,0,1995,1995
David Johnson\JohnDa08,RB,36,2015,2019
David Kirtman\KirtDa00,RB,0,2007,2008
David Lang\LangDa00,RB,6,1991,1995
David McCluskey\McClDa22,RB,1,1987,1987
David Montgomery\MontDa01,RB,5,2019,2019
David Nelson\NelsDa21,RB,0,1984,1984
David Overstreet\OverDa00,RB,4,1983,1983
David Sims\SimsDa00,RB,17,1977,1979
David Thompson\ThomDa00,RB,0,1997,1998
David Williams\WillDa011,RB,0,2018,2018
David Wilson\WilsDa01,RB,5,2012,2014
Davin Meggett\MeggDa01,RB,0,2012,2012
De Dorsey\DorsDe00,RB,2,2006,2008
De'Angelo Henderson\HendDe01,RB,0,2017,2018
De'Anthony Thomas\ThomDe05,RB,7,2014,2019
De'Lance Turner\TurnDe01,RB,0,2018,2019
De'Mond Parker\ParkDe00,RB,2,1999,2000
De'Veon Smith\SmitDe06,RB,0,2017,2017
Deacon Turner\TurnDe00,RB,4,1978,1980
DeAndra Cobb\CobbDe00,RB,0,2005,2005
DeAndre Washington\WashDe00,RB,12,2016,2019
DeAngelo Williams\WillDe02,RB,73,2006,2016
Dee Brown\BrowDe02,RB,2,2002,2006
Deji Karim\KariDe00,RB,4,2010,2013
Del Rodgers\RodgDe00,RB,6,1982,1988
Del Thompson\ThomDe22,RB,0,1982,1982
Delone Carter\CartDe01,RB,3,2011,2013
Delvin Joyce\JoycDe00,RB,0,2002,2003
Delvin Williams\WillDe01,RB,63,1974,1981
DeMarco Murray\MurrDe00,RB,70,2011,2017
Demitrius Bronson\BronDe00,RB,,2014,2014
Dennis Bligen\BligDe00,RB,4,1984,1987
Dennis Johnson\JohnDe02,RB,1,2013,2013
Dennis Lundy\LundDe20,RB,0,1995,1995
Dennis Morgan\MorgDe00,RB,1,1974,1975
Dennis Smith\SmitDe20,RB,0,1990,1990
Deon Strother\StroDe20,RB,0,1994,1994
Derek Brown\BrowDe01,RB,18,1993,1996
Derek Loville\LoviDe00,RB,20,1990,1999
Derrick Blaylock\BlayDe00,RB,12,2002,2006
Derrick Clark\ClarDe01,RB,2,1994,1994
Derrick Coleman\ColeDe00,RB,1,2012,2018
Derrick Cullors\CullDe00,RB,4,1997,1998
Derrick Douglas\DougDe20,RB,0,1991,1991
Derrick Fenner\FennDe00,RB,34,1989,1997
Derrick Foster\FostDe20,RB,0,1987,1987
Derrick Gainer\GainDe00,RB,2,1990,1993
Derrick Harmon\HarmDe00,RB,5,1984,1986
Derrick Harris\HarrDe00,RB,1,1996,2001
Derrick Henry\HenrDe00,RB,29,2016,2019
Derrick Lassic\LassDe00,RB,3,1993,1993
Derrick McAdoo\McAdDe00,RB,2,1987,1988
Derrick Moore\MoorDe00,RB,10,1993,1995
Derrick Ross\RossDe00,RB,0,2006,2006
Derrick Thomas\ThomDe21,RB,0,1987,1987
Derrick Ward\WardDe01,RB,27,2004,2011
